index,key,scenario,algorithm,experiment,file,ext
978,crossing2_socialMPPI_experiment_4,crossing2,socialMPPI,4,crossing2/socialMPPI/experiment_4.mp4,mp4
979,crossing2_socialMPPI_experiment_5,crossing2,socialMPPI,5,crossing2/socialMPPI/experiment_5.mp4,mp4
980,crossing2_ORCA_experiment_1,crossing2,ORCA,1,crossing2/ORCA/experiment_1.mp4,mp4
981,crossing2_ORCA_experiment_2,crossing2,ORCA,2,crossing2/ORCA/experiment_2.mp4,mp4
982,crossing2_ORCA_experiment_3,crossing2,ORCA,3,crossing2/ORCA/experiment_3.mp4,mp4
983,crossing2_ORCA_experiment_4,crossing2,ORCA,4,crossing2/ORCA/experiment_4.mp4,mp4
984,crossing2_ORCA_experiment_5,crossing2,ORCA,5,crossing2/ORCA/experiment_5.mp4,mp4
985,crossing2_PURE_SFM_experiment_1,crossing2,PURE_SFM,1,crossing2/PURE_SFM/experiment_1.mp4,mp4
986,crossing2_PURE_SFM_experiment_2,crossing2,PURE_SFM,2,crossing2/PURE_SFM/experiment_2.mp4,mp4
987,crossing2_PURE_SFM_experiment_3,crossing2,PURE_SFM,3,crossing2/PURE_SFM/experiment_3.mp4,mp4
988,crossing2_PURE_SFM_experiment_4,crossing2,PURE_SFM,4,crossing2/PURE_SFM/experiment_4.mp4,mp4
989,crossing2_PURE_SFM_experiment_5,crossing2,PURE_SFM,5,crossing2/PURE_SFM/experiment_5.mp4,mp4
990,crossing3_DWA_experiment_1,crossing3,DWA,1,crossing3/DWA/experiment_1.mp4,mp4
991,crossing3_DWA_experiment_2,crossing3,DWA,2,crossing3/DWA/experiment_2.mp4,mp4
992,crossing3_DWA_experiment_3,crossing3,DWA,3,crossing3/DWA/experiment_3.mp4,mp4
993,crossing3_DWA_experiment_4,crossing3,DWA,4,crossing3/DWA/experiment_4.mp4,mp4
994,crossing3_DWA_experiment_5,crossing3,DWA,5,crossing3/DWA/experiment_5.mp4,mp4
995,crossing3_DWAsocialcostmap_experiment_1,crossing3,DWAsocialcostmap,1,crossing3/DWAsocialcostmap/experiment_1.mp4,mp4
996,crossing3_DWAsocialcostmap_experiment_2,crossing3,DWAsocialcostmap,2,crossing3/DWAsocialcostmap/experiment_2.mp4,mp4
997,crossing3_DWAsocialcostmap_experiment_3,crossing3,DWAsocialcostmap,3,crossing3/DWAsocialcostmap/experiment_3.mp4,mp4
998,crossing3_DWAsocialcostmap_experiment_4,crossing3,DWAsocialcostmap,4,crossing3/DWAsocialcostmap/experiment_4.mp4,mp4
999,crossing3_DWAsocialcostmap_experiment_5,crossing3,DWAsocialcostmap,5,crossing3/DWAsocialcostmap/experiment_5.mp4,mp4
1000,crossing3_SFM_experiment_1,crossing3,SFM,1,crossing3/SFM/experiment_1.mp4,mp4
1001,crossing3_SFM_experiment_2,crossing3,SFM,2,crossing3/SFM/experiment_2.mp4,mp4
